session_id,round,decision_index,stage,current_player,state,legal_actions,chosen_action,reward,done
20250329173312,1,0,first,0,"{'round': 1, 'stage': 'first', 'current_player': 0, 'player0_card': 1, 'player1_card': 2, 'player2_card': -1, 'pot': 2, 'chips': '9;9', 'betting_history': ''}","[0, 1]",0,0,False
20250329173312,1,1,first,1,"{'round': 1, 'stage': 'first', 'current_player': 1, 'player0_card': 1, 'player1_card': 2, 'player2_card': -1, 'pot': 2, 'chips': '9;9', 'betting_history': '0'}","[2, 3]",0,0,False
20250329173312,1,2,first,1,"{'round': 1, 'stage': 'first', 'current_player': 1, 'player0_card': 1, 'player1_card': 2, 'player2_card': -1, 'pot': 2, 'chips': '9;9', 'betting_history': '00'}","[2, 3]",0,0,True
20250329173312,1,0,second,0,"{'round': 1, 'stage': 'second', 'current_player': 0, 'player0_card': 1, 'player1_card': 2, 'player2_card': -1, 'pot': 2, 'chips': '9;9', 'betting_history': '00'}","[2, 3]",0,0,False
20250329173312,1,1,second,1,"{'round': 1, 'stage': 'second', 'current_player': 1, 'player0_card': 1, 'player1_card': 2, 'player2_card': -1, 'pot': 2, 'chips': '9;9', 'betting_history': '000'}","[2, 3]",0,0,False
20250329173312,1,2,second,1,"{'round': 1, 'stage': 'second', 'current_player': 1, 'player0_card': 1, 'player1_card': 2, 'player2_card': -1, 'pot': 2, 'chips': '9;9', 'betting_history': '0000'}","[2, 3]",0,0,True
20250329173520,1,0,first,0,"{'round': 1, 'stage': 'first', 'current_player': 0, 'player0_card': 2, 'player1_card': 1, 'player2_card': -1, 'pot': 2, 'chips': '9;9', 'betting_history': ''}","[0, 1]",1,0,False
20250329173520,1,1,first,1,"{'round': 1, 'stage': 'first', 'current_player': 1, 'player0_card': 2, 'player1_card': 1, 'player2_card': -1, 'pot': 3, 'chips': '8;9', 'betting_history': '1'}","[2, 3, 4]",4,0,False
20250329173520,1,2,first,1,"{'round': 1, 'stage': 'first', 'current_player': 1, 'player0_card': 2, 'player1_card': 1, 'player2_card': -1, 'pot': 4, 'chips': '8;8', 'betting_history': '14'}","[2, 3, 4]",4,0,True
20250329173520,1,0,second,0,"{'round': 1, 'stage': 'second', 'current_player': 0, 'player0_card': 2, 'player1_card': 1, 'player2_card': -1, 'pot': 4, 'chips': '8;8', 'betting_history': '14'}","[2, 3, 4]",1,0,False
20250329173520,1,1,second,1,"{'round': 1, 'stage': 'second', 'current_player': 1, 'player0_card': 2, 'player1_card': 1, 'player2_card': -1, 'pot': 5, 'chips': '7;8', 'betting_history': '141'}","[2, 3]",2,0,False
20250329173520,1,2,second,1,"{'round': 1, 'stage': 'second', 'current_player': 1, 'player0_card': 2, 'player1_card': 1, 'player2_card': -1, 'pot': 6, 'chips': '7;7', 'betting_history': '1412'}","[2, 3]",2,0,True
20250329175201,1,0,first,0,"{'round': 1, 'stage': 'first', 'current_player': 0, 'player0_card': 0, 'player1_card': 1, 'player2_card': -1, 'pot': 2, 'chips': '9;9', 'betting_history': ''}","[0, 1]",0,0,False
